Program,Tracking Slug (public URL),Affiliate Link / Referral URL,Referral Code / ID,Used On Page(s),Category,Date Added,Notes
Amazon Associates,/go/amazon?asin={ASIN},https://www.amazon.com/dp/{ASIN}?tag=jalinn.v.-20,jalinn.v.-20,"index.html, gifts.html",Books & Gifts,,Per-product links with ?tag= parameter. Public URL is /go/amazon?asin=ASIN
BitcoinMerch,/go/bm?p={SLUG},https://bitcoinmerch.com/products/{SLUG}?aff=888,aff=888,"gifts.html, mine-bitcoin.html, earn-bitcoin.html",Gifts / Mining,,Per-product links with ?aff= parameter. Public URL is /go/bm?p=SLUG
Bitrefill,/go/bitrefill,https://www.bitrefill.com/invite/m47omcic,m47omcic,"gift-cards.html, esims.html, phone-refills.html",Gift Cards / eSIMs / Phone Refills,,Single invite link for all products
Udemy,(direct),https://trk.udemy.com/{TRACKING_CODE},Multiple (R0RZXg / PzaR9Y / L0DOqY / xJnr3v / rEgL33 / k4R93d / AgKnV7),courses.html,Courses,,7 tracking links — one per course (not yet routed through /go/)
Binance,/go/binance,https://www.binance.com/register?ref=11175123,11175123,exchanges.html,Exchanges,,
Kraken,/go/kraken,https://proinvite.kraken.com/9f1e/48k33nb4,9f1e/48k33nb4,exchanges.html,Exchanges,,
Nexo,/go/nexo,https://nexo.com/ref/rpsk6dhdki?src=android-link,rpsk6dhdki,exchanges.html,Exchanges,,
Xapo Bank,/go/xapo,https://application.xapo.com/membership-application?ref=UJG-REQ-TN,UJG-REQ-TN,exchanges.html,Exchanges,,
Kast.xyz,/go/kast,https://go.kast.xyz/VqVO/9UPJ9S0N,9UPJ9S0N,exchanges.html,Exchanges / Staking,,
Roxom,/go/roxom,https://roxom.com/auth/signup?referral=bitcoinbrainfood,bitcoinbrainfood,exchanges.html,Exchanges,2026-04-13,
BTCPay Server,/go/btcpay,https://btcpayserver.org/,,accept-bitcoin.html,Accept Bitcoin,2026-04-15,Open-source self-hosted — no affiliate program (non-profit)
OpenNode,/go/opennode,https://opennode.com/,,accept-bitcoin.html,Accept Bitcoin,2026-04-15,Check for partner/referral program
CoinGate,/go/coingate,https://coingate.com/,,accept-bitcoin.html,Accept Bitcoin,2026-04-15,Has a partner program — apply at coingate.com/partner
Microlancer,/go/microlancer,https://microlancer.io,,earn-bitcoin.html,Earn Bitcoin,2026-04-15,Freelance marketplace paid in sats
Bitcoiner Jobs,/go/bitcoinerjobs,https://bitcoinerjobs.com,,earn-bitcoin.html,Earn Bitcoin,2026-04-15,Job board for Bitcoin companies — no affiliate
Stacker News,/go/stackernews,https://stacker.news,,earn-bitcoin.html,Earn Bitcoin,2026-04-15,No affiliate — community platform
Fountain,/go/fountain,https://www.fountain.fm,,earn-bitcoin.html,Earn Bitcoin,2026-04-15,Podcast app — no affiliate program
Geyser,/go/geyser,https://geyser.fund,,earn-bitcoin.html,Earn Bitcoin,2026-04-15,Crowdfunding platform — no affiliate program
Lolli,/go/lolli,https://www.lolli.com,,earn-bitcoin.html,Earn Bitcoin,2026-04-15,Has referral program — check account for invite link
Fold,/go/fold,https://foldapp.com,,earn-bitcoin.html,Earn Bitcoin,2026-04-15,Has referral program — check account for invite link
Scarce.city,/go/scarce,https://scarce.city,,gifts.html,Marketplace,2026-04-15,Bitcoin-only marketplace — check for partner program
Stacker Spread,/go/stackerspread,https://stackerspread.bitcoinbrainfood.com/,,start-here.html,Tools (own product),,Our own carry-trade calculator
SeedPlate,/go/seedplate,https://seedplate.com/,,blog/hardware-wallet-mistakes.html,Steel Backup,2026-05-08,Steel seed plate — check for affiliate program
StampSeed,/go/stampseed,https://www.stampseed.com/shop.html,,blog/hardware-wallet-mistakes.html,Steel Backup,2026-05-08,Titanium kit — check for affiliate program
Trezor Keep Metal,/go/trezor-keep-metal,https://trezor.io/trezor-keep-metal-single-share,,blog/hardware-wallet-mistakes.html,Steel Backup,2026-05-08,Trezor's own steel backup — uses tile-punch system. Check for Trezor affiliate program
BitBox,/go/bitbox,https://bitbox.swiss/?ref=zjxfgkli,zjxfgkli,wallets.html,Hardware Wallet,2026-05-18,Swiss-made hardware wallet (BitBox02 — Bitcoin-only edition available). Append ?ref=zjxfgkli to any bitbox.swiss or bitbox.shop URL.
